iter	RMSE
0	0.4551484174
1	0.3532305
2	0.3026478071
3	0.2767455034
4	0.2596068646
5	0.2473791535
6	0.2403754517
7	0.2338417081
8	0.2267979797
9	0.2229614002
10	0.2186184216
11	0.2126337858
12	0.2100779825
13	0.2048778347
14	0.2006720258
15	0.1965786866
16	0.1928599148
17	0.1899564548
18	0.1872583828
19	0.1822853838
20	0.1796931991
21	0.1762771386
22	0.1735250761
23	0.1714526714
24	0.1686484571
25	0.1672996998
26	0.1658639761
27	0.1634638185
28	0.16210623
29	0.1606147535
30	0.1597996531
31	0.156667483
32	0.1565951711
33	0.1564171832
34	0.1542109651
35	0.1534939025
36	0.1510024562
37	0.1499110034
38	0.1479370112
39	0.1473551799
40	0.1457762105
41	0.1449337674
42	0.1433698486
43	0.1427084714
44	0.1409445667
45	0.1394703448
46	0.1393600111
47	0.1386335766
48	0.1378417862
49	0.1357022343
50	0.1339986543
51	0.1320923182
52	0.1320188623
53	0.1303995988
54	0.129734056
55	0.1291144509
56	0.1283222786
57	0.1275169233
58	0.1260186304
59	0.1251508959
60	0.1241514511
61	0.122989815
62	0.122568414
63	0.1225457553
64	0.1220677041
65	0.1208982143
66	0.1201317293
67	0.1195230629
68	0.1188851513
69	0.118492692
70	0.1172346034
71	0.1165547365
72	0.1163505914
73	0.1153615368
74	0.1145617053
75	0.1139443619
76	0.113475161
77	0.1129380325
78	0.112835876
79	0.112455173
80	0.1119564922
81	0.1107874952
82	0.1104592481
83	0.1099174829
84	0.1093886909
85	0.1085698817
86	0.1079837909
87	0.1073853659
88	0.1065204885
89	0.1061251174
90	0.1059236064
91	0.1047116424
92	0.1041436557
93	0.1035732844
94	0.1030122298
95	0.1026994691
96	0.1023851382
97	0.1018802663
98	0.1014302174
99	0.1013548151
100	0.1010668173
101	0.1007826732
102	0.1006407163
103	0.1003761211
104	0.09969553323
105	0.09950008519
106	0.09917575681
107	0.09839080499
108	0.09820827851
109	0.09767768891
110	0.09709402734
111	0.09686054638
112	0.09615813256
113	0.09592670553
114	0.09540874057
115	0.09526586917
116	0.09474639527
117	0.09471134596
118	0.09447046365
119	0.09421851088
120	0.09398986999
121	0.09346039389
122	0.09324065274
123	0.09282523238
124	0.09257275335
125	0.09188531671
126	0.09151359767
127	0.09104938021
128	0.09069162441
129	0.08988910315
130	0.08948080578
131	0.08945015909
132	0.0892566938
133	0.08886081044
134	0.08811166609
135	0.08774621215
136	0.08754054589
137	0.087256804
138	0.08701037656
139	0.08689825639
140	0.08680897008
141	0.08628444241
142	0.08577856658
143	0.0856028901
144	0.08515779939
145	0.08443879738
146	0.08377497836
147	0.08294493593
148	0.08260085659
149	0.08237613695
150	0.08170129717
151	0.0815817769
152	0.08140333739
153	0.08126997099
154	0.08117566028
155	0.08114274422
156	0.08077589761
157	0.08032196062
158	0.0800828868
159	0.07962733546
160	0.07930369382
161	0.07913834223
162	0.07865884468
163	0.07835019749
164	0.07801907503
165	0.07782506505
166	0.07780949123
167	0.07769707541
168	0.07769219956
169	0.07748096102
170	0.07709374353
171	0.07689708203
172	0.07681259923
173	0.07655090002
174	0.07624465491
175	0.0760206568
176	0.07559557676
177	0.07542849533
178	0.0750754227
179	0.07482711273
180	0.07481608356
181	0.0744055019
182	0.07407919331
183	0.07390373667
184	0.07369772139
185	0.07351927759
186	0.07327549547
187	0.07313363798
188	0.07288071509
189	0.07287116411
190	0.07246801261
191	0.07239181363
192	0.07223731852
193	0.07198839098
194	0.07189751149
195	0.07176639821
196	0.07164504503
197	0.07159276939
198	0.07155390559
199	0.07138733136
200	0.07122319365
201	0.07073207392
202	0.07054423509
203	0.07044200259
204	0.07024376562
205	0.07013985754
206	0.07012014007
207	0.06993319295
208	0.0697101022
209	0.06965916616
210	0.06960959171
211	0.0695020346
212	0.06934825662
213	0.06918711805
214	0.06867563616
215	0.06862741948
216	0.06840580082
217	0.06821854025
218	0.06810390002
219	0.0679517396
220	0.06777567534
221	0.06752797328
222	0.06746267322
223	0.06719010938
224	0.06711997252
225	0.0671183278
226	0.06704233097
227	0.06699287978
228	0.06686068014
229	0.06682214798
230	0.06668646446
231	0.06645572728
232	0.06622610456
233	0.06622004802
234	0.06612616942
235	0.06607841451
236	0.06606375254
237	0.06576013051
238	0.06552165815
239	0.06530650735
240	0.06510814351
241	0.06499968482
242	0.06485700449
243	0.06456853717
244	0.06442535732
245	0.06435652958
246	0.06434901765
247	0.06411829913
248	0.06409049719
249	0.06406451395
250	0.06401580621
251	0.06392173927
252	0.06377010728
253	0.06368210848
254	0.0636151526
255	0.06339319511
